team,title,rank,created_date
PETE THE CAT: BIG EASTER ADVENTURE,3,Pete,2023-03-22 22:06:27
COUNTDOWN,3,Pete,2023-03-29 22:10:24
"POVERTY, BY AMERICA",1,Jake,2023-03-29 22:10:27
HELLO BEAUTIFUL,3,Pete,2023-04-05 22:05:23
OUTLIVE,1,Jake,2023-04-05 22:05:26
SWEET ENOUGH,3,Pete,2023-04-05 22:05:27
THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!,3,Pete,2023-04-05 22:05:28
REMARKABLY BRIGHT CREATURES,3,Pete,2023-04-05 23:10:05
TWENTY THOUSAND FLEAS UNDER THE SEA,1,Jake,2023-04-05 23:10:10
"SPY X FAMILY, VOL. 9",3,Pete,2023-04-05 23:10:10
TOM CLANCY: ZERO HOUR,3,Pete,2023-04-05 23:10:15
DEATH OF THE BLACK WIDOW,1,Jake,2023-04-05 23:10:15
THE ISLAND,3,Pete,2023-04-05 23:10:19
ROMANTIC COMEDY,3,Pete,2023-04-12 22:11:21
NIC BLAKE AND THE REMARKABLES,1,Jake,2023-04-12 22:11:22
SILVER IN THE BONE,1,Jake,2023-04-12 22:11:23
SPELL BOUND,3,Pete,2023-04-12 22:11:23
BUILT TO MOVE,3,Pete,2023-04-12 22:11:25
CRYING IN H MART,1,Jake,2023-04-12 22:11:25
THE WISDOM OF THE BULLFROG,1,Jake,2023-04-12 22:11:25
DARK ANGEL,1,Jake,2023-04-19 22:15:23
THE ONLY SURVIVORS,3,Pete,2023-04-19 22:15:23
THE LAST THING HE TOLD ME,1,Jake,2023-04-19 22:15:26
YOU COULD MAKE THIS PLACE BEAUTIFUL,3,Pete,2023-04-19 22:15:27
SIMPLY LIES,1,Jake,2023-04-26 22:01:20
YOU CAN'T JOKE ABOUT THAT,3,Pete,2023-04-26 22:01:23
THE WAGER,1,Jake,2023-04-26 22:01:23
KILLERS OF THE FLOWER MOON,3,Pete,2023-04-26 22:01:26
HAPPY PLACE,1,Jake,2023-05-03 22:05:26
Y'ALL EAT YET?,3,Pete,2023-05-03 22:05:31
BECAUSE I HAD A TEACHER,1,Jake,2023-05-03 22:05:32
BETTER THAN THE MOVIES,3,Pete,2023-05-03 22:51:06
MOTHERING HEIGHTS,3,Pete,2023-05-03 22:51:11
TWO ALONE,3,Pete,2023-05-03 22:51:19
THE RUSSIAN,1,Jake,2023-05-03 22:51:19
THE 23RD MIDNIGHT,3,Pete,2023-05-10 22:11:20
THE ONE AND ONLY,1,Jake,2023-05-10 22:11:21
SKANDAR AND THE PHANTOM RIDER,3,Pete,2023-05-10 22:11:22
SOLITAIRE,1,Jake,2023-05-10 22:11:22
THE SUN AND THE STAR,1,Jake,2023-05-10 22:11:22
"IMOGEN, OBVIOUSLY",3,Pete,2023-05-10 22:11:22
